given_date,given_rank,track_id,spotify_artist,given_artist,spotify_title,given_title,given_last_week,given_peak_rank,given_weeks_on_board
2004-07-24,37,785t3poQsvdkSeH5xGA9R4,D12,D12,How Come,How Come,53,37,4
2004-07-24,38,23oxJmDc1V9uLUSmN2LIvx,Yellowcard,Yellowcard,Ocean Avenue,Ocean Avenue,38,37,11
2004-07-24,39,4UzVcXufOhGUwF56HT7b8M,Evanescence,Evanescence,My Immortal,My Immortal,37,7,29
2004-07-24,40,0dEQaNYfp5G7Sflek2Qnde,Avril Lavigne,Avril Lavigne,Don't Tell Me,Don't Tell Me,34,22,17
2004-07-24,41,4m3VFxVwSPk8VGoA9qcLRC,Reba McEntire,Reba McEntire,Somebody Should Leave,Somebody,50,41,7
2004-07-24,42,3NLrRZoMF0Lx6zTlYqeIo4,3 Doors Down,3 Doors Down,Here Without You,Here Without You,47,5,48
2004-07-24,43,266hoXlxTshUk4XsNQK5to,R. Kelly,R. Kelly,Happy People - Album Version with DJ Skit,Happy People,45,19,16
2004-07-24,44,746nPV2NXSoxW3imGpG8gk,Beenie Man,Beenie Man Featuring Ms. Thing,Dude,Dude,43,26,25
2004-07-24,45,3stnrhzN0lzZFskbaZ5sEw,Mis-Teeq,Mis-Teeq,Scandalous - U.S. Radio Edit,Scandalous,40,35,10
2004-07-24,46,4PkJ7c9y1CwpuVOiJODnCZ,Nickelback,Nickelback,Someday,Someday,46,7,49
2004-07-24,47,4BXkf6yww23Vdju7E1fUrn,Brad Paisley,Brad Paisley Featuring Alison Krauss,Whiskey Lullaby (feat. Alison Krauss),Whiskey Lullaby,56,47,6
2004-07-24,48,4ccM2xBxicGigjLqt6A0YY,Counting Crows,Counting Crows,Accidentally In Love,Accidentally In Love,55,48,5
2004-07-24,49,1HvCFAUIWQsWV9zud3UhDl,Alan Walker,Kanye West Featuring Syleena Johnson,All Falls Down (feat. Juliander),All Falls Down,54,7,20
2004-07-24,50,4llK75pXNWZz6KAho2Gp16,Maroon 5,Maroon 5,She Will Be Loved - Radio Mix,She Will Be Loved,,50,1
2004-07-24,51,3KDCYRQl4O681lkYI2sCqE,Black Eyed Peas,The Black Eyed Peas,Hey Mama,Hey Mama,39,23,16
2004-07-24,52,58LflM1owDAzQkYIL7ayCX,Jadakiss,Jadakiss Featuring Anthony Hamilton,Why,Why?,61,52,2
2004-07-24,53,2XQY54Im8VrO4sd2tAmiv4,Mase,Mase,Welcome Back,Welcome Back,51,32,8
2004-07-24,54,48EQasc6XD0pOQtkIOWqOC,Akon,Akon Featuring Styles P.,Locked Up,Locked Up,65,54,7
2004-07-24,55,7zywdG4ysfC5XNBzjQAo2o,Montgomery Gentry,Montgomery Gentry,If You Ever Stop Loving Me,If You Ever Stop Loving Me,48,30,15
2004-07-24,56,7kF1iPJTj3VFJX9XokQ80F,Velvet Revolver,Velvet Revolver,Slither,Slither,60,56,11
2004-07-24,57,5caW5J7nrK4Mtu6cZiBxUk,Billy Currington,Billy Currington,I Got A Feelin',I Got A Feelin',63,57,5
2004-07-24,58,2CaxgnHBHuiOYIGIyvMbCl,Toby Keith,Toby Keith,Whiskey Girl,Whiskey Girl,42,31,13
2004-07-24,59,26bL4gSULWDgdIMX0pRFrG,Gretchen Wilson,Gretchen Wilson,Redneck Woman,Redneck Woman,57,22,16
2004-07-24,60,1GIN41bLhiKeEPeC2vXH8i,LL COOL J,LL Cool J,Headsprung,Headsprung,68,60,3
2004-07-24,61,4tAru66VGVLWYjg90UV4vJ,Pitbull,Pitbull Featuring Lil Jon,Culo,Culo,52,32,14
2004-07-24,62,4i2WUspbfNZCnhkypoFKrM,Nickelback,Nickelback,Feelin' Way Too Damn Good,Feelin' Way Too Damn Good,64,62,4
2004-07-24,63,1Vmze4s1DY05T2gUClnhmz,David Lee Murphy,David Lee Murphy,Loco,Loco,44,44,12
2004-07-24,64,2Vn8Ea6fGOM3dsGYVcJ62G,Terri Clark,Terri Clark,Girls Lie Too - Greatest Hits Version,Girls Lie Too,72,64,3
2004-07-24,65,2KBo6O5rkNdtYT3wYjkEkq,Slum Village,Slum Village Featuring Kanye West & John Legend,Fall In Love,Selfish,69,65,10
2004-07-24,66,01LgFdcK1vtxStxkTP4Lej,Josh Gracin,Josh Gracin,I Want To Live,I Want To Live,70,66,4
2004-07-24,67,2BepFzUWfczDk68DXj10w3,Finger Eleven,Finger Eleven,One Thing,One Thing,,67,1
2004-07-24,68,01jlZ4UvMwJ0hPOZLsD1VO,Martina McBride,Martina McBride,How Far,How Far,74,68,3
2004-07-24,69,4e1Tzk6QyZhxgVWf2uhHB7,The Karaoke Crew,Nelly Featuring Jaheim,My Place (As Made Famous By Nelly Featuring Jaheim),My Place,,69,1
