id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
1zYZs8Vbjhbzx5M3olcRnm,0.617,0.704,6,-7.61,0,0.0258,0.171,0.0,0.0924,0.57,91.541,180617,4,1
4KDNRh9Oor80z3XIxdWlui,0.91,0.585,11,-7.572,0,0.257,0.0536,0.0,0.127,0.599,129.011,165067,4,2
2vXgyN14LX2zl7JEASw242,0.74,0.576,6,-6.744,0,0.146,0.0249,0.0,0.104,0.315,110.095,209476,4,1
3J4VKkUpLvomXJbn9ZAypO,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,161053,4,1
7wpyrkjEgz7W1vNYDxMKrF,0.666,0.643,8,-7.01,1,0.423,0.386,0.0,0.283,0.756,96.375,105377,4,3
7u6kAP26NFU2rwNKjFUpI8,0.541,0.903,11,-4.746,1,0.0901,0.00546,0.0,0.205,0.767,139.981,178680,4,2
3QFInJAm9eyaho5vBzxInN,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,252262,4,1
5SixeLvPsYpk7qq9lo5xYg,0.903,0.535,9,-6.434,1,0.0742,0.297,0.0,0.345,0.508,130.022,148779,4,1
4l87XsO8vkPlfT4fsY8s3X,0.679,0.524,1,-7.016,1,0.309,0.112,0.0,0.107,0.401,194.808,168733,4,1
4HD9SLK4s9rwRyuFt3n8N7,0.486,0.838,6,-5.407,1,0.0617,0.0523,0.0,0.0845,0.664,171.963,190452,4,2
47fyYjbsfq48e3fUys4Xaa,0.686,0.566,9,-5.977,1,0.0423,0.254,0.0,0.11,0.542,146.042,203381,4,1
6Hfu9sc7jvv6coyy2LlzBF,0.587,0.561,0,-6.569,1,0.146,0.0466,0.0,0.109,0.351,80.009,243187,4,1
1dIWPXMX4kRHj6Dt2DStUQ,0.571,0.767,2,-5.16,1,0.287,0.336,0.0,0.0809,0.605,93.421,161684,4,2
33N9JGkr9McbbPEMgUjqPj,0.712,0.703,4,-6.174,0,0.199,0.0287,0.0,0.13,0.452,89.024,202247,4,1
2EEfUuBRZA4Ax1vYcluFS0,0.557,0.565,7,-6.12,1,0.026,0.229,3.9e-06,0.119,0.187,125.956,226267,3,1
4XZ8YGsNIF4UqE324Mbgfg,0.618,0.808,4,-8.209,1,0.0625,0.115,2.31e-06,0.129,0.49,100.037,177600,4,1
67wUHsoXdZ8UOLt6rodpQ9,0.585,0.863,7,-4.061,1,0.0401,0.0446,0.0,0.0937,0.788,147.931,210560,4,2
25GyyK9CyZRiDCsPY51fIT,0.545,0.82,8,-4.489,1,0.275,0.0951,0.0,0.29,0.357,141.908,150476,4,1
52nTQQahs46s1iHFQ3Wv5Q,0.723,0.516,11,-10.707,0,0.485,0.00311,1.26e-06,0.115,0.223,155.967,123077,4,1
6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4,2
0uRrG2jRR5tuifsYIJHEao,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,202133,4,0
4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,224213,4,1
4rPkN1FMzQyFNP9cLUGIIB,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004,4,1
1tf4Bfk8JIKryLpWYRvyiI,0.653,0.623,8,-4.56,1,0.0244,0.508,3.32e-06,0.285,0.718,100.021,206507,4,3
4FdPnT2cFrpWCmWZd7GXc3,0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,213719,4,1
4c7LkE1lSNj3RR4cZo0jEi,0.772,0.563,11,-8.188,0,0.452,0.0107,0.0,0.304,0.521,160.064,133631,4,1
3qAJAUr7yc9bPDx4ESt6ND,0.555,0.832,11,-3.691,1,0.0412,0.28,0.0,0.0894,0.43,170.124,209903,3,1
1t55dGrBkLvKDzNa9QJ3LV,0.798,0.572,1,-6.627,1,0.17,0.027,0.0,0.099,0.293,155.933,138453,4,1
6G2xXQRSZlEzYsUEb3uvuR,0.405,0.565,1,-9.266,0,0.0372,0.38,0.0195,0.107,0.166,159.892,214149,3,1
2vmfvSoZBFAt9hhRoEByLi,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,230125,4,2
15npbUjCgwt2lRvyrJvyxw,0.757,0.705,2,-5.084,1,0.0252,0.0375,5.8e-06,0.114,0.855,104.972,207161,4,2
67G6iaOw8DZqp1z8STR89R,0.893,0.463,1,-5.301,1,0.36,0.199,0.0,0.318,0.591,81.026,229601,4,2
4XvcHTUfIlWfyJTRG0aqlo,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,123987,4,3
2Qt8qG9SWPdtRiaWcPNJRm,0.735,0.446,5,-10.232,1,0.109,0.0071,1.93e-05,0.173,0.121,150.915,199093,4,1
6z6OFc8qYsqUBSOWta3nLV,0.437,0.184,1,-17.667,1,0.0313,0.72,0.00253,0.113,0.247,80.088,136000,4,0
1IeCWMwZs4rCmwPOjZYWN7,0.778,0.934,9,-3.488,1,0.321,0.184,0.0,0.123,0.803,98.97,183333,4,2
0WSEq9Ko4kFPt8yo3ICd6T,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,226653,4,1
4gzsuuZypVbxs0Af1LSZyB,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301,4,1
3J5jotqUAjU479WhAiNkpU,0.563,0.847,1,-4.493,1,0.0468,0.0891,0.0,0.121,0.666,96.06,212720,4,2
1TlTzdsEpgfsmbuNfYmWfG,0.606,0.513,9,-8.756,1,0.0524,0.102,0.0,0.156,0.177,79.9,192257,4,1
5zNW5ARjYhJQJz1AChP33n,0.95,0.693,9,-3.424,1,0.0898,0.0133,0.0,0.173,0.891,130.02,184635,4,2
5SulrwmIUDbU5TQQtoYHhL,0.637,0.932,8,-3.545,1,0.0354,0.06,3.23e-06,0.138,0.771,95.511,181200,4,2
0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293,4,2
0BFGDkrXAneskCJdudSCro,0.736,0.532,1,-7.151,1,0.265,0.0292,8.86e-06,0.0806,0.273,84.983,165773,4,1
6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,173182,4,2
1yRke3PmsyFrYlFZOAkABk,0.57,0.618,10,-4.966,1,0.0445,0.153,0.0,0.159,0.286,138.034,231832,4,1
7hU3IHwjX150XLoTVmjD0q,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4,1
2tUL6dZf1mywCj5WvCPZw6,0.84,0.744,1,-4.751,1,0.113,0.0181,0.0,0.629,0.171,83.737,204347,4,1
6HIIuuUIEzH1meVdGbMXyf,0.436,0.4,0,-6.521,1,0.11,0.463,0.0,0.76,0.568,75.576,189050,3,3
5nhW8I46uDE5sc5ouEbzao,0.704,0.778,5,-5.331,1,0.0971,0.00447,0.0,0.0731,0.821,101.025,183537,4,2
2aw1aEAxMe05MZIS5XiK8U,0.488,0.806,1,-4.451,1,0.0291,0.0119,6.02e-06,0.111,0.509,77.014,195326,4,1
4Ec0q0j8hRTCX4QQ5MiHSX,0.53,0.524,4,-5.751,1,0.0327,0.544,0.0,0.11,0.514,150.05,179214,4,3
2pUQX4d3Cjh3umGkVz0XyI,0.475,0.805,10,-4.456,1,0.0377,0.000453,0.0,0.143,0.488,145.976,199680,4,1
5lAnYvAIkSDNXqfo7DyFUm,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,174253,4,3
0eu4C55hL6x29mmeAjytzC,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,161803,4,1
3krZxyBsWEHfEfJegYaWTd,0.615,0.422,5,-8.019,0,0.0504,0.604,0.0,0.112,0.185,135.859,214094,5,0
2cEnKRR4dYBB2VA1mjlb1z,0.777,0.59,0,-8.741,0,0.286,0.397,0.0,0.169,0.238,147.978,155738,4,1
5v65Atu3bOWYL1Tn4l2pvi,0.872,0.386,7,-10.029,1,0.0702,0.0106,0.552,0.115,0.962,119.993,157250,4,2
6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4,0
1De7cOMrdUnVpjWBaowMg4,0.726,0.728,11,-5.775,0,0.0408,0.239,0.0,0.177,0.566,115.047,225502,4,2
6kksmL4t09IgxhajuVDDxR,0.621,0.405,1,-11.26,0,0.437,0.382,0.0,0.152,0.141,98.427,174549,4,1
7zjEyeBsaw9gV0jofJLfOM,0.767,0.313,7,-12.059,1,0.0798,0.838,0.0,0.105,0.765,82.582,210907,4,3
0uqsdBw9KvD8jSWmfMmMAp,0.707,0.442,0,-10.395,0,0.339,0.0698,0.0,0.106,0.344,81.021,220413,4,1
3ruoIF2UnoXdzK8mR61ebq,0.825,0.733,1,-5.625,0,0.0969,0.349,0.0,0.112,0.62,97.974,190331,4,2
2JPLbjOn0wPCngEot2STUS,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4,1
2HSmyk2qMN8WQjuGhaQgCk,0.423,0.667,6,-7.012,0,0.326,0.758,0.0,0.246,0.496,86.743,336511,4,3
4cGqn0E8JCSY9gQllQj4Mf,0.592,0.342,0,-8.93,1,0.0339,0.193,0.00245,0.11,0.155,130.953,241595,4,1
3yFsyy1hw7v31NBrRJX2QM,0.55,0.767,9,-6.281,1,0.0248,0.00141,3.07e-06,0.143,0.601,104.016,192027,3,2
03kozlqpm5twrblZia0m9j,0.509,0.51,4,-9.522,0,0.425,0.176,0.0,0.223,0.22,82.407,237263,4,1
58T4yPLn4NjBYXfRxeweyM,0.563,0.672,9,-7.226,0,0.0765,0.359,0.0,0.0972,0.284,99.772,156000,4,1
25r6MZ4Gtd76l43qnZI1DG,0.8,0.541,10,-5.05,0,0.0375,0.0252,0.0,0.146,0.194,135.99,183514,4,1
4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4,1
4fSIb4hdOQ151TILNsSEaF,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,199604,4,1
1b8TpvCFqmJTd2xz9xE9s1,0.627,0.678,2,-4.691,1,0.0294,0.185,0.0,0.374,0.724,100.032,160839,4,2
2DTpP3caqX3QdJIEoS83mD,0.861,0.637,6,-7.701,0,0.133,0.392,0.0,0.0929,0.754,87.006,198621,4,3
0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,4,1
027269uzraETHuoG6aMs6a,0.494,0.771,1,-4.309,1,0.0626,0.0649,0.0,0.11,0.371,136.053,228440,4,1
2CMVajzxRuxsFNzYFkzjTb,0.715,0.625,5,-5.58,1,0.152,0.225,0.0,0.103,0.588,147.97,233514,4,2
14RtRKcWhxg2qPGLMR21tf,0.662,0.798,8,-5.332,0,0.165,0.179,0.0,0.147,0.663,134.999,229333,4,2
4s7TIubkdsgdtDEDFEAYVL,0.647,0.823,2,-4.074,1,0.0478,0.0387,0.0,0.74,0.309,150.995,174805,4,1
0QULNNd9z5s35entfiiXoa,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,245626,4,2
6jjYDGxVJsWS0a5wlVF5vS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,164952,4,2
7eDkIDGKVe5B5RmTiEPiXJ,0.52,0.552,6,-7.178,0,0.489,0.211,0.0,0.139,0.554,172.306,213749,4,1
1cHFHTOMDb3zHcDwumFSCw,0.571,0.525,6,-7.785,0,0.343,0.161,0.0,0.164,0.306,119.205,141573,5,1
