given_date,given_rank,track_id,spotify_artist,given_artist,spotify_title,given_title,given_last_week,given_peak_rank,given_weeks_on_board
2017-09-09,50,0OlS52TmtK2gPaEtdmr7DN,Old Dominion,Old Dominion,No Such Thing as a Broken Heart,No Such Thing As A Broken Heart,50,50,13
2017-09-09,51,15EPc80XuFrb2LmOzGjuRg,GoldLink,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew (feat. Brent Faiyaz & Shy Glizzy),Crew,54,51,9
2017-09-09,52,7vGuf3Y35N4wmASOKLUVVU,Marshmello,Marshmello Featuring Khalid,Silence,Silence,42,42,2
2017-09-09,53,40oKW22ZNNkEdZLJTScaQI,Kodak Black,Kodak Black Featuring XXXTENTACION,Roll in Peace (feat. XXXTENTACION),Roll In Peace,,53,1
2017-09-09,54,6Se3x9ANMLv0dCDsjGmEjh,blackbear,blackbear,do re mi,Do Re Mi,63,54,11
2017-09-09,55,4lnAN2S1fcI0SjxEbksZVr,Selena Gomez,Selena Gomez Featuring Gucci Mane,Fetish (feat. Gucci Mane),Fetish,48,27,7
2017-09-09,56,0w3Q14i073jLoew1hgJkwD,Jon Pardi,Jon Pardi,Heartache On The Dance Floor,Heartache On The Dance Floor,55,54,8
2017-09-09,57,2cYqizR4lgvp4Qu6IQ3qGN,Travis Scott,Travis Scott,BUTTERFLY EFFECT,Butterfly Effect,58,55,13
2017-09-09,58,1mMLMZYXkMueg65jRRWG1l,Luke Combs,Luke Combs,When It Rains It Pours,When It Rains It Pours,68,58,4
2017-09-09,59,1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Imagine Dragons,Thunder,Thunder,57,53,17
2017-09-09,60,7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,Back to You (feat. Bebe Rexha & Digital Farm Animals),Back To You,56,40,5
2017-09-09,61,1RouRzlg8OKFeqc6LvdxmB,Maluma,Maluma,Felices los 4,Felices Los 4,53,48,15
2017-09-09,62,1dFLowBW25EaL2OC7eKEa2,Lady A,Lady Antebellum,You Look Good,You Look Good,65,59,20
2017-09-09,63,1KSqYYJFyfTecXFk9M0prc,Wisin,Wisin Featuring Ozuna,Escápate Conmigo (feat. Ozuna),Escapate Conmigo,69,63,11
2017-09-09,64,6yMxfx9wpiuhhdb8vHDVMu,Meek Mill,Meek Mill Featuring Chris Brown & Ty Dolla $ign,Whatever You Need (feat. Chris Brown & Ty Dolla $ign),Whatever You Need,61,51,7
2017-09-09,65,6HZILIRieu8S0iqY8kIKhj,Kendrick Lamar,Kendrick Lamar,DNA.,DNA.,66,4,19
2017-09-09,66,3I7krC8kr0gFR7P6vInR1I,Billy Currington,Billy Currington,Do I Make You Wanna,Do I Make You Wanna,62,47,11
2017-09-09,67,30MM5jWpUmOxtTNd9Ey5LZ,Thomas Rhett,Thomas Rhett,Unforgettable,Unforgettable,73,67,4
2017-09-09,68,0CokSRCu5hZgPxcZBaEzVE,Macklemore,Macklemore Featuring Skylar Grey,Glorious (feat. Skylar Grey),Glorious,71,68,7
2017-09-09,69,3n2A6l4UayVe3GGKCvfQWV,Justin Moore,Justin Moore,Somebody Else Will,Somebody Else Will,59,59,12
2017-09-09,70,10GJQkjRJcZhGTLagFOC62,Hailee Steinfeld,Hailee Steinfeld,Most Girls,Most Girls,67,58,14
2017-09-09,71,5CRHxhQOzuj5iPASXodlmm,Kendrick Lamar,Kendrick Lamar Featuring Zacari,LOVE. FEAT. ZACARI.,Love.,70,18,19
2017-09-09,72,6gU9OKjOE7ghfEd55oRO57,SZA,SZA,The Weekend,The Weekend,75,72,4
2017-09-09,73,762UXiwEHYY97VL45sAUPR,David Guetta,David Guetta Featuring Justin Bieber,2U,2U,64,16,11
2017-09-09,74,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,Dua Lipa,New Rules,New Rules,81,74,4
2017-09-09,75,1B6TmCvKjC4dopBohVW51x,Jacquees,Jacquees,B.E.D.,B.E.D.,89,75,3
2017-09-09,76,66pxmg3Jhjm09tHoWR1wVR,Kenny Chesney,Kenny Chesney,All the Pretty Girls,All The Pretty Girls,80,76,4
2017-09-09,77,1P17dC1amhFzptugyAO7Il,Taylor Swift,Taylor Swift,Look What You Made Me Do,Look What You Made Me Do,,77,1
2017-09-09,78,3izNaTiYdotdPL0Bs76JqO,Dylan Scott,Dylan Scott,My Girl,My Girl,72,39,18
2017-09-09,79,2fGxYYMQbVqgIdaqfz2OwA,Miley Cyrus,Miley Cyrus,Younger Now,Younger Now,,79,1
2017-09-09,80,15Uxmx6D6hW0gY5kc7bpqU,Ricegum,RiceGum Featuring Alissa Violet,Its Every Night Sis,Its Every Night Sis,,80,1
2017-09-09,81,6KjbNLbRjuoa8rEq5yNA6H,The Chainsmokers,The Chainsmokers,Honest,Honest,77,77,4
2017-09-09,82,1WIZiOuNO3woKfdlSK2gNn,Kodak Black,Kodak Black,Transportin',Transportin',,82,1
2017-09-09,83,08wJ1B9yu9sPeoRa5fbpr3,Brothers Osborne,Brothers Osborne,It Ain't My Fault,It Ain't My Fault,79,79,10
2017-09-09,84,2wxfu24GQpEZQrjDJm5Ac1,Carly Pearce,Carly Pearce,Every Little Thing,Every Little Thing,85,84,4
2017-09-09,85,2EWpa5XnAuSn0sIkSSIhYk,The Revivalists,The Revivalists,Wish I Knew You,Wish I Knew You,87,85,4
2017-09-09,86,3bzE57iNavJJxXL9GgBiOK,Jason Aldean,Jason Aldean,They Don't Know,They Don't Know,82,82,4
2017-09-09,87,37F0uwRSrdzkBiuj0D5UHI,The Weeknd,The Weeknd,Reminder,Reminder,76,31,16
2017-09-09,88,0WyFpxYlBCgH1gMXd26OOr,Cole Swindell,Cole Swindell,Flatliner (feat. Dierks Bentley),Flatliner,74,56,18
2017-09-09,89,73WWkaWkIRSP3MYGZ14aY4,Kip Moore,Kip Moore,More Girls Like You,More Girls Like You,88,88,2
2017-09-09,90,3ojTJaonfkL96iIWa47SU3,Chris Brown,Chris Brown,Questions,Questions,,90,1
2017-09-09,91,1ung2kajpw24AaHjBtPY3j,Rae Sremmurd,Rae Sremmurd,Perplexing Pegasus - From SR3MM,Perplexing Pegasus,93,84,3
2017-09-09,92,19yTqpHTUrw7mOcRDvXYzn,Chris Lane,Chris Lane,For Her,For Her,94,92,4
2017-09-09,93,0bXFIF7iL17TYLyx8JHziM,Kodak Black,Kodak Black,Patty Cake,Patty Cake,86,76,3
2017-09-09,94,1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Camila Cabello Featuring Young Thug,Havana (feat. Young Thug),Havana,,94,2
2017-09-09,95,1nX9KhK3Fff27SnrIor2Yb,2 Chainz,2 Chainz Featuring Travis Scott,4 AM,4 AM,90,55,12
2017-09-09,96,6xL9MJ2yt39HPPZPyGkRy8,YoungBoy Never Broke Again,YoungBoy Never Broke Again,Untouchable,Untouchable,95,95,2
2017-09-09,97,5kyd6oKvKmj6mWCaAaHoN4,Chris Brown,Chris Brown,Privacy,Privacy,91,62,17
2017-09-09,98,25oOaleife6E2MIKmFkPvg,Young Thug,Young Thug Featuring Future,Relationship (feat. Future),Relationship,,83,2
2017-09-09,99,6BKeNWeUqxmvQ09Gxd3ZGX,Major Lazer,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",Know No Better,Know No Better,,87,3
2017-09-09,100,09iyGiljLWRYXdRazFkdtJ,Maren Morris,Maren Morris,I Could Use a Love Song,I Could Use A Love Song,97,97,2
2017-09-02,1,6habFhsOp2NvshLv26DqMb,Luis Fonsi,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,Despacito,1,1,31
2017-09-02,2,45XhKYRRkyeqoW3teSOkCM,DJ Khaled,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts (feat. Rihanna & Bryson Tiller),Wild Thoughts,2,2,9
2017-09-02,3,7mrGgxBSeM4Okkcur6ljfY,2017 Dynamo Hitz,Cardi B,Bodak Yellow (Money Moves),Bodak Yellow (Money Moves),8,3,7
2017-09-02,4,3B54sVLJ402zGa6Xm4YGNe,French Montana,French Montana Featuring Swae Lee,Unforgettable,Unforgettable,3,3,19
2017-09-02,5,0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Imagine Dragons,Believer,Believer,4,4,28
2017-09-02,6,5cF0dROlMOK5uNZtivgu50,Charlie Puth,Charlie Puth,Attention,Attention,5,5,17
2017-09-02,7,7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,Shawn Mendes,There's Nothing Holdin' Me Back,There's Nothing Holdin' Me Back,6,6,17
2017-09-02,8,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,Bruno Mars,That's What I Like,That's What I Like,7,1,31
2017-09-02,9,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Ed Sheeran,Shape of You,Shape Of You,9,1,32
2017-09-02,10,7FpBQ067pHB67deawpbbcY,Sam Hunt,Sam Hunt,Body Like A Back Road,Body Like A Back Road,11,6,29
2017-09-02,11,1jYiIOC5d6soxkJP81fxq2,DJ Khaled,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",I'm The One,10,1,16
